datetime,avgMintTXGas_1d,sumMintGas_1d,mintTXCounts_1d,sumMinted_sETH2_1d,avgSellTXGas_1d,sumSellGas_1d,sellTXCounts_1d,sumSold_sETH2_1d,avgGasPricePaidOnSell_1d,mintsAvoidable_Full_Volume,mintsPotentiallyCrossableCoverage_Percentage,costOfImplementingMaxTheoriticalCross,gasSavingOnMaxTheoriticalCross,gasSavingOnMaxTheoriticalCross_PnL_in_ETH_100GWEI_GasPx,gasSavingOnMaxTheoriticalCross_PnL_in_ETH_AvgSellGasPx
2021-05-27,98377.52,2459438,25,27.71569319482456,,,,,,False,,,,,
2021-05-28,106599.1,2131982,20,24.176628383080217,,,,,,False,,,,,
2021-05-29,93677.38461538461,2435612,26,23.42296860971603,,,,,,False,,,,,
2021-05-30,104405.1052631579,1983697,19,13.61105622168644,,,,,,False,,,,,
2021-05-31,98145.6,1472184,15,6.15222698702165,,,,,,False,,,,,
2021-06-01,99721.13636363637,2193865,22,920.1587385278131,,,,,,False,,,,,
2021-06-02,104889.84615384616,2727136,26,9.491844526553244,,,,,,False,,,,,
2021-06-03,105915.84615384616,2753812,26,137.8208644578527,,,,,,False,,,,,
2021-06-04,109612.95652173914,2521098,23,5.172223029257499,,,,,,False,,,,,
2021-06-05,104551.90476190476,2195590,21,12.416145035367265,,,,,,False,,,,,
2021-06-06,103191.85714285714,2889372,28,12.978900284301416,,,,,,False,,,,,
2021-06-07,100182.86956521739,2304206,23,22.87451223518945,,,,,,False,,,,,
2021-06-08,100651.5,1610424,16,18.504634239183922,,,,,,False,,,,,
2021-06-09,106351.78787878787,3509609,33,45.012896261356126,,,,,,False,,,,,
2021-06-10,106815.28571428571,2243121,21,107.3518850226091,,,,,,False,,,,,
2021-06-11,98999.06666666667,1484986,15,22.24354050094683,,,,,,False,,,,,
2021-06-12,104748.94736842105,1990230,19,919.7688304788543,,,,,,False,,,,,
2021-06-13,108498.125,1735970,16,14.829905025002917,,,,,,False,,,,,
2021-06-14,108112.66666666667,1946028,18,26.4725142702123,,,,,,False,,,,,
2021-06-15,99447.76470588235,1690612,17,120.26044855513568,,,,,,False,,,,,
2021-06-16,99279.35294117648,1687749,17,112.92076848141195,,,,,,False,,,,,
2021-06-17,103177.5,2476260,24,42.90147364429937,,,,,,False,,,,,
2021-06-18,98199.76470588235,1669396,17,10.002562012259416,,,,,,False,,,,,
2021-06-19,100913.54838709677,3128320,31,32.87203625057603,,,,,,False,,,,,
2021-06-20,101583.4375,1625335,16,19.073370658083686,,,,,,False,,,,,
2021-06-21,100128.66666666667,1201544,12,9.750770952400131,,,,,,False,,,,,
2021-06-22,105829.52631578948,2010761,19,5.594827320983479,,,,,,False,,,,,
2021-06-23,101601.3,4064052,40,72.67040614788829,203089.18421052632,7717389.0,38.0,1017.0344267313678,16489473684.210526,True,1.0,4408000.0,3309389.0,0.054570082826315786,0.054570082826315786
2021-06-24,107034.7,2140694,20,10.998563383139581,196914.21818181817,10830282.0,55.0,860.1644989686092,18390909146.618183,True,1.0,6380000.0,4450282.0,0.08184473193883027,0.08184473193883027
2021-06-25,99471.27272727272,2188368,22,15.66101171506681,192660.8,6743128.0,35.0,870.7259782117949,21915714373.228573,True,1.0,4060000.0,2683128.0,0.05880266687481203,0.05880266687481203
2021-06-26,102681.78947368421,1950954,19,17.63773157118936,294468.4666666667,4417027.0,15.0,2097.9602454284613,12577333445.6,True,1.0,1740000.0,2677027.0,0.03366986122187423,0.03366986122187423
2021-06-27,97206.30434782608,2235745,23,22.408416399518057,244713.65384615384,6362555.0,26.0,152.63735678252226,11196153846.153847,True,1.0,3016000.0,3346555.0,0.03746854463461539,0.03746854463461539
2021-06-28,104179.21428571429,2917018,28,14.088681212465548,304188.1923076923,7908893.0,26.0,955.7438185120615,22057692363.807693,True,1.0,3016000.0,4892893.0,0.10792592856302811,0.10792592856302811
2021-06-29,102694.15625,3286213,32,158.99438049893115,232413.17142857143,8134461.0,35.0,1144.5598151051836,17990714327.4,True,1.0,4060000.0,4074461.0,0.07330246388913254,0.07330246388913254
2021-06-30,98716.95454545454,2171773,22,5.4644246453309,184342.22727272726,4055529.0,22.0,46.61521594547232,25736363702.68182,True,1.0,2552000.0,1503529.0,0.03869536918152949,0.03869536918152949
2021-07-01,96071.2,960712,10,0.7053180037644604,226119.54545454544,4974630.0,22.0,596.6981755320745,17477272793.590908,True,1.0,2552000.0,2422630.0,0.04234096538793714,0.04234096538793714
2021-07-02,104726.5625,1675625,16,0.3854402604206944,185638.14285714287,3898401.0,21.0,35.622469318350646,12790476190.47619,True,1.0,2436000.0,1462401.0,0.01870480517142857,0.01870480517142857
2021-07-03,101523.36363636363,1116757,11,0.2551252189714792,202646.0588235294,3444983.0,17.0,73.93554364459003,10617647058.82353,True,1.0,1972000.0,1472983.0,0.015639613617647062,0.015639613617647062
2021-07-04,106938.0,1069380,10,0.3945183462706592,194036.26666666666,2910544.0,15.0,89.22065386667144,12070000000.0,True,1.0,1740000.0,1170544.0,0.01412846608,0.01412846608
2021-07-05,103810.25,830482,8,0.3735676854550614,172809.1,1728091.0,10.0,47.174523483890084,14801000145.9,True,1.0,1160000.0,568091.0,0.008408314973884477,0.008408314973884477
2021-07-06,100199.0,1001990,10,0.4312688465031145,161826.8,809134.0,5.0,5.916922842255066,44800000000.0,True,1.0,580000.0,229134.0,0.0102652032,0.0102652032
2021-07-07,100658.18181818182,1107240,11,1.0386256005857282,152730.25,610921.0,4.0,8.1402585423541,35250000000.0,True,1.0,464000.0,146921.0,0.0051789652500000005,0.0051789652500000005
2021-07-08,97110.11111111111,873991,9,0.5901669877294665,191264.77777777778,1721383.0,9.0,10.811859799756384,30088889051.0,True,1.0,1044000.0,677383.0,0.020381701932033532,0.020381701932033532
2021-07-09,102620.625,820965,8,0.7474341177478335,156978.88888888888,1412810.0,9.0,306.97117997424334,18788888888.88889,True,1.0,1044000.0,368810.0,0.006929530111111111,0.006929530111111111
2021-07-10,112160.4,560802,5,0.11975970788687569,191849.88888888888,1726649.0,9.0,7.5579651114551405,15888889229.222221,True,1.0,1044000.0,682649.0,0.01084653434343932,0.01084653434343932
2021-07-11,111044.375,888355,8,0.2924357858596527,195220.4,1952204.0,10.0,19.752059351382766,11530000000.0,True,1.0,1160000.0,792204.0,0.00913411212,0.00913411212
